trait,avg_rating,rank,rating_sd,number_ratings,character
emotional (not logical),62.4,727,27.2,273,Jorah Mormont
pure (not debased),62.4,724,26.5,275,Jorah Mormont
sweet (not bitter),62.4,690,27.7,246,Jorah Mormont
shy (not playful),62.3,259,23.2,244,Jorah Mormont
tame (not wild),62.3,461,27,257,Jorah Mormont
trusting (not charming),62.2,441,29.1,269,Jorah Mormont
literary (not mathematical),62.1,788,26.6,216,Jorah Mormont
valedictorian (not drop out),62,1031,33.4,45,Jorah Mormont
🐿 (not 🦇),62,782,29,54,Jorah Mormont
fixable (not unfixable),62,786,31.4,27,Jorah Mormont
straightforward (not cryptic),61.9,1001,29.1,242,Jorah Mormont
🏀 (not 🎨),61.9,521,35.8,36,Jorah Mormont
one-faced (not two-faced),61.8,1026,33.8,32,Jorah Mormont
provincial (not cosmopolitan),61.7,459,28.7,243,Jorah Mormont
frenzied (not sleepy),61.7,1314,21,48,Jorah Mormont
💀 (not 🎃),61.7,668,37.1,29,Jorah Mormont
down2earth (not head@clouds),61.6,742,30.6,232,Jorah Mormont
miserable (not joyful),61.6,844,26.8,58,Jorah Mormont
profound (not ironic),61.5,483,28.2,38,Jorah Mormont
unchallenging (not demanding),61.5,216,30.2,33,Jorah Mormont
😭 (not 😀),61.4,544,32.1,57,Jorah Mormont
linear (not circular),61.4,464,30.2,29,Jorah Mormont
empirical (not theoretical),61.3,519,29.5,268,Jorah Mormont
glad (not mad),61.2,524,28.6,57,Jorah Mormont
direct (not roundabout),61.1,1090,29.6,265,Jorah Mormont
work-first (not family-first),61.1,718,33.2,281,Jorah Mormont
charming (not awkward),61,953,28.6,261,Jorah Mormont
cultured (not rustic),61,887,31.5,26,Jorah Mormont
strict (not lenient),60.9,783,26.9,267,Jorah Mormont
jealous (not opinionated),60.9,178,28.6,40,Jorah Mormont
📈 (not 📉),60.8,958,31.7,64,Jorah Mormont
politically correct (not edgy),60.6,551,28.6,253,Jorah Mormont
mild (not spicy),60.5,445,27.7,257,Jorah Mormont
penny-pincher (not overspender),60.5,753,28.9,64,Jorah Mormont
😏 (not 😬),60.4,777,29.7,71,Jorah Mormont
vegan (not cannibal),60.4,754,24.7,34,Jorah Mormont
real (not philosophical),60.3,970,27.9,171,Jorah Mormont
western (not eastern),60.3,986,31.1,77,Jorah Mormont
🧕 (not 💃),60.3,323,30,74,Jorah Mormont
doer (not thinker),60.3,968,31,38,Jorah Mormont
political (not nonpolitical),60.2,790,30.8,233,Jorah Mormont
good-humored (not angry),60.1,855,25.5,250,Jorah Mormont
prideful (not envious),59.9,1310,31.2,36,Jorah Mormont
boy/girl-next-door (not celebrity),59.9,983,29.9,45,Jorah Mormont
formal (not intimate),59.8,680,30.5,106,Jorah Mormont
🥴 (not 🥳),59.8,754,31.1,49,Jorah Mormont
winter (not summer),59.8,681,35.5,27,Jorah Mormont
arcane (not mainstream),59.7,793,28.7,241,Jorah Mormont
everyman (not chosen one),59.7,554,31.9,35,Jorah Mormont
confident (not insecure),59.6,1137,28.8,265,Jorah Mormont
highbrow (not lowbrow),59.5,941,26.1,244,Jorah Mormont
literal (not metaphorical),59.5,927,29.2,254,Jorah Mormont
Roman (not Greek),59.5,499,27.5,27,Jorah Mormont
desperate (not high standards),59.5,458,30,31,Jorah Mormont
interesting (not tiresome),59.4,1238,28,263,Jorah Mormont
intense (not lighthearted),59.4,1140,29.7,30,Jorah Mormont
ferocious (not pacifist),59.1,976,27,285,Jorah Mormont
extraordinary (not mundane),59.1,1168,28.6,277,Jorah Mormont
adventurous (not stick-in-the-mud),59.1,941,29.8,230,Jorah Mormont
morning lark (not night owl),59.1,481,30,164,Jorah Mormont
cooperative (not competitive),59,534,31.3,276,Jorah Mormont
normie (not freak),58.8,608,27.1,36,Jorah Mormont
idealist (not realist),58.7,673,32.6,83,Jorah Mormont
armoured (not vulnerable),58.6,1016,29.8,234,Jorah Mormont
open-minded (not close-minded),58.6,970,26.8,267,Jorah Mormont
curious (not apathetic),58.5,1224,27.1,258,Jorah Mormont
rigid (not flexible),58.5,823,27.9,244,Jorah Mormont
jealous (not compersive),58.5,701,28.4,219,Jorah Mormont
dry (not moist),58.5,658,34.3,36,Jorah Mormont
optimistic (not pessimistic),58.4,741,28.8,263,Jorah Mormont
genius (not dunce),58.3,1192,23.1,323,Jorah Mormont
focused on the future (not focused on the present),58.3,545,30.4,254,Jorah Mormont
libertarian (not socialist),58.2,673,29.1,201,Jorah Mormont
disarming (not creepy),58.2,1259,27.9,126,Jorah Mormont
realistic (not fantastical),58.1,926,34.6,24,Jorah Mormont
poor (not rich),58,616,26.4,236,Jorah Mormont
always down (not picky),58,445,28.6,33,Jorah Mormont
fast (not slow),57.8,1262,27.6,266,Jorah Mormont
average (not deviant),57.8,480,27.6,177,Jorah Mormont
chill (not offended),57.7,549,29.5,43,Jorah Mormont
geriatric (not vibrant),57.6,343,28.8,40,Jorah Mormont
scientific (not artistic),57.4,857,27.3,235,Jorah Mormont
country-bumpkin (not city-slicker),57,467,29.3,65,Jorah Mormont
🤐 (not 😜),56.9,841,31.3,62,Jorah Mormont
opinionated (not neutral),56.9,1633,32.7,37,Jorah Mormont
physical (not intellectual),56.7,566,28.4,259,Jorah Mormont
serious (not bold),56.7,674,30.7,321,Jorah Mormont
tautology (not oxymoron),56.6,284,31.9,22,Jorah Mormont
prudish (not flirtatious),56.6,679,27.6,45,Jorah Mormont
communal (not individualist),56.4,513,32.7,72,Jorah Mormont
rhythmic (not stuttering),56.4,1346,28.3,33,Jorah Mormont
reasoned (not instinctual),56.2,629,29.8,244,Jorah Mormont
pensive (not serene),56.2,1444,32.5,42,Jorah Mormont
🐩 (not 🐒),56,884,30.5,40,Jorah Mormont
accommodating (not stubborn),55.9,357,33.3,45,Jorah Mormont
soft (not hard),55.8,751,28,105,Jorah Mormont
sexual (not asexual),55.8,1226,31.1,28,Jorah Mormont
concise (not long-winded),55.6,817,31.3,31,Jorah Mormont
trusting (not suspicious),55.5,721,31.3,259,Jorah Mormont
democratic (not authoritarian),55.5,964,32.2,249,Jorah Mormont
🥶 (not 🥵),55.5,617,34.7,23,Jorah Mormont
hurried (not leisurely),55.4,1007,27.5,254,Jorah Mormont
open to new experinces (not uncreative),55.3,1379,30.1,248,Jorah Mormont
sickly (not healthy),55.2,395,28.8,239,Jorah Mormont
timid (not cocky),55.2,390,31.2,40,Jorah Mormont
skeptical (not spiritual),55,1331,31.2,248,Jorah Mormont
moderate (not extreme),55,600,30.8,267,Jorah Mormont
domestic (not industrial),55,744,28.5,68,Jorah Mormont
common sense (not analysis),55,593,33.1,44,Jorah Mormont
conservative (not liberal),54.9,555,28.4,50,Jorah Mormont
privileged (not oppressed),54.9,1206,27.2,40,Jorah Mormont
passive (not assertive),54.8,413,29.4,258,Jorah Mormont
👨‍🚀 (not 🧙),54.8,771,29.5,75,Jorah Mormont
f***-the-police (not tattle-tale),54.7,1142,32.3,32,Jorah Mormont
flower child (not goth),54.7,1154,30.1,34,Jorah Mormont
🤫 (not 🤔),54.6,520,29.7,44,Jorah Mormont
enlightened (not lost),54.5,749,28.6,41,Jorah Mormont
preppy (not punk rock),54.5,1076,33.3,32,Jorah Mormont
crafty (not scholarly),54.4,1093,30.4,243,Jorah Mormont
self-destructive (not self-improving),54.4,945,33.4,40,Jorah Mormont
realistic (not ambitious),54.4,597,36.5,25,Jorah Mormont
muddy (not washed),54.3,595,28.1,30,Jorah Mormont
thick (not thin),54.2,635,26.7,204,Jorah Mormont
complicated (not simple),54.1,1305,34.1,235,Jorah Mormont
centrist (not radical),54,703,32.3,44,Jorah Mormont
💔 (not 💝),53.9,795,39.2,75,Jorah Mormont
corporate (not freelance),53.5,741,30.8,34,Jorah Mormont
suspicious (not awkward),53.4,1215,28.4,233,Jorah Mormont
resistant (not resigned),53.4,1573,30.8,266,Jorah Mormont
sheeple (not conspiracist),53.4,435,28.6,207,Jorah Mormont
presidential (not folksy),53.4,1010,28.2,33,Jorah Mormont
proletariat (not bourgeoisie),53.3,971,29.6,242,Jorah Mormont
🧐 (not 😎),53.3,825,32.1,52,Jorah Mormont
💪 (not 🧠),53.3,539,32.5,63,Jorah Mormont
deep (not epic),53.3,846,29.5,28,Jorah Mormont
soft (not hard),53.2,825,27.9,253,Jorah Mormont
chaste (not lustful),53.1,748,30.7,250,Jorah Mormont
enslaved (not emancipated),53.1,422,30.2,238,Jorah Mormont
self-assured (not self-conscious),53.1,1332,30.4,242,Jorah Mormont
unassuming (not pretentious),53,740,30.6,46,Jorah Mormont
🤖 (not 👻),53,826,32.3,39,Jorah Mormont
Coke (not Pepsi),53,896,33.1,22,Jorah Mormont
water (not fire),52.8,699,30.5,31,Jorah Mormont
never cries (not often crying),52.7,1101,30.1,34,Jorah Mormont
sheriff (not outlaw),52.6,946,32.2,249,Jorah Mormont
👩‍🔬 (not 👩‍🎤),52.6,880,30.3,61,Jorah Mormont
🏋️‍♂️ (not 🚴),52.6,542,32.2,42,Jorah Mormont
slovenly (not stylish),52.3,646,27.3,237,Jorah Mormont
unambiguous (not mysterious),52.3,1040,30.6,291,Jorah Mormont
jaded (not innocent),52.2,1321,29.6,46,Jorah Mormont
theist (not atheist),51.9,721,32,70,Jorah Mormont
princess (not queen),51.8,687,32.8,45,Jorah Mormont
bashful (not exhibitionist),51.6,629,29.1,32,Jorah Mormont
👽 (not 🤡),51.5,1106,34.8,42,Jorah Mormont
specialist (not generalist),51.4,1292,30.4,86,Jorah Mormont
official (not backdoor),51.1,874,32.7,267,Jorah Mormont
cynical (not gullible),50.1,1318,32.9,35,Jorah Mormont
fresh (not stinky),50.8,1387,29.8,81,Jorah Mormont
paranoid (not naive),50.8,1303,27.7,38,Jorah Mormont
'left-brained' (not 'right-brained'),50.3,1087,31.2,165,Jorah Mormont
sensitive (not thick-skinned),50.5,908,30.1,238,Jorah Mormont
traumatized (not flourishing),90.7,27,14.6,37,Theon Greyjoy
haunted (not blissful),89.1,57,17.3,36,Theon Greyjoy
sad (not happy),88.5,25,13.5,309,Theon Greyjoy
desperate (not high standards),88.3,14,13.4,36,Theon Greyjoy
miserable (not joyful),88.1,47,12.2,40,Theon Greyjoy
unlucky (not fortunate),88,13,17.6,250,Theon Greyjoy
sorrowful (not cheery),86.9,36,14.3,260,Theon Greyjoy
depressed (not bright),86.7,22,14.1,280,Theon Greyjoy
emotional (not logical),86.3,80,14.5,268,Theon Greyjoy
gloomy (not sunny),86.1,80,13.7,44,Theon Greyjoy
moody (not stable),85.7,166,15.4,264,Theon Greyjoy
anxious (not calm),85.7,90,15,276,Theon Greyjoy
lost (not enlightened),85.7,13,15.7,40,Theon Greyjoy
emotional (not unemotional),85.5,199,14.5,31,Theon Greyjoy
tense (not relaxed),84,284,18,309,Theon Greyjoy
beta (not alpha),83.9,69,20.3,245,Theon Greyjoy
codependent (not independent),83.5,50,20.7,260,Theon Greyjoy
foolish (not wise),82.8,71,14.5,299,Theon Greyjoy
insecure (not confident),82.1,55,22.2,238,Theon Greyjoy
first-mate (not captain),82.1,163,17.6,266,Theon Greyjoy
twitchy (not still),82,152,15.5,45,Theon Greyjoy
apprentice (not master),81.6,54,20.2,131,Theon Greyjoy
side character (not main character),80.5,224,19.2,20,Theon Greyjoy
submissive (not dominant),80.1,112,22,297,Theon Greyjoy
offended (not chill),79.2,219,17.4,48,Theon Greyjoy
young (not old),79.1,438,17.3,261,Theon Greyjoy
chaotic (not orderly),79.1,277,19.1,270,Theon Greyjoy
unprepared (not hoarder),78.9,28,19.8,233,Theon Greyjoy
scruffy (not manicured),78.8,200,22,276,Theon Greyjoy
two-faced (not one-faced),78.5,171,25.4,40,Theon Greyjoy
messy (not neat),78.4,191,20,197,Theon Greyjoy
😭 (not 😀),78.3,84,24.2,58,Theon Greyjoy
🤐 (not 😜),78.3,176,23.5,49,Theon Greyjoy
outsider (not insider),78.2,103,22.5,202,Theon Greyjoy
sickly (not healthy),78.2,60,18.2,276,Theon Greyjoy
variable (not consistent),78.1,39,20.4,34,Theon Greyjoy
instinctual (not reasoned),77.7,241,20.9,261,Theon Greyjoy
vulnerable (not armoured),77.6,100,23.1,271,Theon Greyjoy
hesitant (not decisive),77.5,56,22.3,269,Theon Greyjoy
folksy (not presidential),77.3,158,17.2,24,Theon Greyjoy
biased (not impartial),77.1,272,21.8,270,Theon Greyjoy
backdoor (not official),77.1,213,21.5,253,Theon Greyjoy
jealous (not compersive),76.9,222,23.7,238,Theon Greyjoy
low-tech (not high-tech),76.7,203,20.3,228,Theon Greyjoy
perverted (not clean),76.7,173,21.6,36,Theon Greyjoy
freak (not normie),76.7,251,21,35,Theon Greyjoy
stinky (not fresh),76.6,97,24.6,81,Theon Greyjoy
off-key (not musical),76.6,120,20,37,Theon Greyjoy
muddy (not washed),76.5,114,25.5,42,Theon Greyjoy
ignorant (not knowledgeable),76.4,89,22.3,26,Theon Greyjoy
impulsive (not cautious),76,355,26.3,259,Theon Greyjoy
disreputable (not prestigious),76,125,22.4,221,Theon Greyjoy
cheesy (not chic),75.7,218,22.1,46,Theon Greyjoy
oxymoron (not tautology),75.6,21,20.3,19,Theon Greyjoy
pessimistic (not optimistic),75.4,205,23.3,217,Theon Greyjoy
stuttering (not rhythmic),75.4,61,21.5,36,Theon Greyjoy
lewd (not tasteful),75.4,128,21.3,262,Theon Greyjoy
self-conscious (not self-assured),75.3,88,27.6,217,Theon Greyjoy
scandalous (not proper),75.1,376,22.7,254,Theon Greyjoy
💀 (not 🎃),75.1,267,25.8,35,Theon Greyjoy
angry (not good-humored),75,192,21.1,235,Theon Greyjoy
unpolished (not eloquent),74.9,184,22,232,Theon Greyjoy
impatient (not patient),74.9,478,28.6,117,Theon Greyjoy
jealous (not opinionated),74.9,43,26.9,34,Theon Greyjoy
rugged (not refined),74.7,289,23.3,280,Theon Greyjoy
awkward (not charming),74.2,176,22.7,283,Theon Greyjoy
enslaved (not emancipated),74.2,49,27.5,248,Theon Greyjoy
mischievous (not well behaved),74.1,582,23.4,281,Theon Greyjoy
water (not fire),74.1,190,27.6,38,Theon Greyjoy
debased (not pure),74,315,24.3,281,Theon Greyjoy
quarrelsome (not warm),74,424,25.8,258,Theon Greyjoy
winter (not summer),74,298,25.5,53,Theon Greyjoy
guarded (not open),73.9,730,23.3,246,Theon Greyjoy
underachiever (not overachiever),73.9,70,23.6,32,Theon Greyjoy
child free (not pronatalist),73.8,355,28.8,252,Theon Greyjoy
subdued (not exuberant),73.8,92,26.4,32,Theon Greyjoy
complicated (not simple),73.7,569,28.9,237,Theon Greyjoy
dunce (not genius),73.7,107,18.7,290,Theon Greyjoy
lustful (not chaste),73.5,372,27.6,241,Theon Greyjoy
juvenile (not mature),73.4,280,23.1,92,Theon Greyjoy
ambitious (not realistic),73.4,427,27.6,31,Theon Greyjoy
indiscreet (not tactful),73.2,94,24.6,48,Theon Greyjoy
🚴 (not 🏋️‍♂️),73.2,583,27.2,48,Theon Greyjoy
meek (not bossy),73.1,151,26.3,269,Theon Greyjoy
drop out (not valedictorian),73.1,232,26.6,53,Theon Greyjoy
dramatic (not comedic),73.1,610,21,24,Theon Greyjoy
pensive (not serene),73.1,388,24.6,17,Theon Greyjoy
disorganized (not self-disciplined),73,202,25.7,255,Theon Greyjoy
low self esteem (not narcissistic),73,163,32.9,42,Theon Greyjoy
exaggerating (not factual),73,401,19.8,26,Theon Greyjoy
jaded (not innocent),73,617,27.4,42,Theon Greyjoy
indie (not pop),72.9,403,24.7,42,Theon Greyjoy
everyman (not chosen one),72.8,156,26.8,44,Theon Greyjoy
weird (not normal),72.8,478,21.3,247,Theon Greyjoy
clumsy (not coordinated),72.7,220,20.8,275,Theon Greyjoy
geriatric (not vibrant),72.7,67,25.8,33,Theon Greyjoy
outlaw (not sheriff),72.6,468,21.3,252,Theon Greyjoy
👨‍🔧 (not 👨‍⚕️),72.6,385,23.3,50,Theon Greyjoy
passive (not assertive),72.5,104,25,237,Theon Greyjoy
crafty (not scholarly),72.5,474,22.1,239,Theon Greyjoy
🥴 (not 🥳),72.5,232,23.8,65,Theon Greyjoy
triggered (not trolling),72.5,297,21.5,40,Theon Greyjoy
sensitive (not thick-skinned),72.4,253,26.6,259,Theon Greyjoy
noob (not pro),72.1,91,23.8,52,Theon Greyjoy
country-bumpkin (not city-slicker),72,207,25.5,49,Theon Greyjoy
self-destructive (not self-improving),72,378,31.9,44,Theon Greyjoy
princess (not queen),72,154,26.3,27,Theon Greyjoy
edgy (not politically correct),71.9,457,23.4,247,Theon Greyjoy
rough (not smooth),71.9,295,24,254,Theon Greyjoy
experimental (not reliable),71.8,321,23.9,43,Theon Greyjoy
dorky (not cool),71.8,293,25.1,50,Theon Greyjoy
rustic (not cultured),71.7,168,25.8,33,Theon Greyjoy
cringeworthy (not inspiring),71.6,249,26,88,Theon Greyjoy
subjective (not objective),71.6,84,24.9,74,Theon Greyjoy
vague (not precise),71.5,84,20.8,181,Theon Greyjoy
👩‍🎤 (not 👩‍🔬),71.4,442,21.8,44,Theon Greyjoy
flimsy (not sturdy),71.4,133,19,32,Theon Greyjoy
stuck-in-the-past (not forward-thinking),71.3,204,26,32,Theon Greyjoy
hypocritical (not equitable),71.3,308,25.5,129,Theon Greyjoy
🐀 (not 🐘),71.3,208,28.2,81,Theon Greyjoy
wavering (not resolute),71.2,49,27.4,50,Theon Greyjoy
🐿 (not 🦇),71.2,446,26.7,41,Theon Greyjoy
entitled (not grateful),70.9,459,26.9,39,Theon Greyjoy
claustrophobic (not spelunker),70.8,96,21.2,34,Theon Greyjoy
dramatic (not no-nonsense),70.6,439,24.6,138,Theon Greyjoy
🐐 (not 🦒),70.4,296,29.1,96,Theon Greyjoy
thin (not thick),70.3,463,29.2,215,Theon Greyjoy
mad (not glad),70.2,500,26.3,43,Theon Greyjoy
skeptical (not spiritual),70.1,764,23.5,232,Theon Greyjoy
uninspiring (not charismatic),69.9,66,25.8,236,Theon Greyjoy
weakass (not badass),69.8,154,28.1,28,Theon Greyjoy
deranged (not reasonable),69.7,348,24.8,48,Theon Greyjoy
😬 (not 😏),69.7,218,27.6,54,Theon Greyjoy
physical (not intellectual),69.6,292,26.1,257,Theon Greyjoy
rural (not urban),69.5,203,27,71,Theon Greyjoy
transient (not permanent),69.4,131,25,116,Theon Greyjoy
doer (not thinker),69.4,581,30.4,31,Theon Greyjoy
arrogant (not humble),69.3,607,27.3,246,Theon Greyjoy
bitter (not sweet),69.3,450,24.9,263,Theon Greyjoy
🧢 (not 🎩),69.3,465,27.9,46,Theon Greyjoy
tardy (not on-time),69.3,278,24.5,33,Theon Greyjoy
helpless (not resourceful),68.9,75,28,81,Theon Greyjoy
Swedish (not Italian),68.9,269,29.5,31,Theon Greyjoy
punchable (not loveable),68.9,306,29,31,Theon Greyjoy
dispassionate (not romantic),68.9,183,25,39,Theon Greyjoy
often crying (not never cries),68.8,324,30,34,Theon Greyjoy
reactive (not proactive),68.6,245,27.7,41,Theon Greyjoy
luddite (not technophile),68.5,246,25.5,193,Theon Greyjoy
incompetent (not competent),68.5,125,24.2,251,Theon Greyjoy
roundabout (not direct),68.2,107,27.6,229,Theon Greyjoy
head@clouds (not down2earth),68.1,409,27.5,260,Theon Greyjoy
pretentious (not unassuming),68.1,536,28.1,64,Theon Greyjoy
🤡 (not 👽),68,236,26.8,49,Theon Greyjoy
sheltered (not street-smart),67.9,302,26.2,230,Theon Greyjoy
hard-work (not natural-talent),67.9,571,25.7,34,Theon Greyjoy
humorless (not funny),67.8,281,26.7,266,Theon Greyjoy
ludicrous (not sensible),67.7,345,26.2,240,Theon Greyjoy
believable (not poorly-written),67.6,1236,27.1,32,Theon Greyjoy
goof-off (not studious),67.6,365,28.5,67,Theon Greyjoy
close-minded (not open-minded),67.5,307,25.3,238,Theon Greyjoy
puny (not mighty),67.4,170,23.9,275,Theon Greyjoy
goth (not flower child),67.4,310,26.1,34,Theon Greyjoy
frenzied (not sleepy),67.2,1017,28.7,38,Theon Greyjoy
whippersnapper (not sage),67.1,303,30,24,Theon Greyjoy
sexist (not feminist),66.8,321,28.4,68,Theon Greyjoy
fearmongering (not reassuring),66.8,396,25.1,36,Theon Greyjoy
serious (not playful),66.5,806,27.7,287,Theon Greyjoy
indulgent (not sober),66.5,588,29.5,228,Theon Greyjoy
lowbrow (not highbrow),66.5,179,26.2,229,Theon Greyjoy
slovenly (not stylish),66.5,288,26.5,229,Theon Greyjoy
hurried (not leisurely),66.5,467,24.8,259,Theon Greyjoy
intense (not lighthearted),66.5,893,30.4,43,Theon Greyjoy
reclusive (not social),66.2,449,25.6,92,Theon Greyjoy
gullible (not cynical),66.2,297,31.3,44,Theon Greyjoy
repulsive (not attractive),66,220,25.8,271,Theon Greyjoy
vain (not demure),66,557,27.8,257,Theon Greyjoy
provincial (not cosmopolitan),66,306,26.9,231,Theon Greyjoy
real (not philosophical),65.9,680,26.1,193,Theon Greyjoy
conventional (not creative),65.8,419,25.3,256,Theon Greyjoy
slow (not fast),65.8,157,25.5,248,Theon Greyjoy
night owl (not morning lark),65.8,722,25.6,148,Theon Greyjoy
obsessed (not aloof),65.6,685,28,240,Theon Greyjoy
extreme (not moderate),65.5,833,27.4,230,Theon Greyjoy
metrosexual (not macho),65.4,664,30.8,38,Theon Greyjoy
sporty (not bookish),65.3,451,29.3,244,Theon Greyjoy
sheeple (not conspiracist),65.3,101,29.8,195,Theon Greyjoy
boy/girl-next-door (not celebrity),65.3,821,23.4,40,Theon Greyjoy
deviant (not average),65.2,744,25.9,198,Theon Greyjoy
envious (not prideful),65.1,74,29.9,39,Theon Greyjoy
🐴 (not 🦄),65,645,31.7,41,Theon Greyjoy
gatherer (not hunter),65,511,31,24,Theon Greyjoy
low IQ (not high IQ),64.7,143,22.2,213,Theon Greyjoy
whimsical (not rational),64.6,455,25,259,Theon Greyjoy
🐷 (not 🐮),64.6,228,29.4,80,Theon Greyjoy
Pepsi (not Coke),64.6,132,27.7,24,Theon Greyjoy
creepy (not disarming),64.5,255,28.2,110,Theon Greyjoy
interrupting (not attentive),64.5,517,31.3,31,Theon Greyjoy
deep (not epic),64.4,315,25,33,Theon Greyjoy
flirtatious (not prudish),64.4,670,30.2,40,Theon Greyjoy
generalist (not specialist),64.2,134,28.2,70,Theon Greyjoy
predictable (not quirky),64.2,395,28.7,42,Theon Greyjoy
feisty (not gracious),64.1,955,24.4,251,Theon Greyjoy
suspicious (not trusting),64.1,714,30.3,277,Theon Greyjoy
oblivious (not alert),64,314,28.1,40,Theon Greyjoy
💔 (not 💝),64,445,33,80,Theon Greyjoy
stubborn (not accommodating),64,1110,32.2,45,Theon Greyjoy
introvert (not extrovert),63.9,441,30.5,258,Theon Greyjoy
crazy (not sane),63.9,604,30.5,67,Theon Greyjoy
chortling (not giggling),63.9,775,26.3,26,Theon Greyjoy
selfish (not altruistic),63.8,552,28.9,261,Theon Greyjoy
unambiguous (not mysterious),63.7,608,27.1,243,Theon Greyjoy
spontaneous (not scheduled),63.3,600,29.5,265,Theon Greyjoy
insulting (not complimentary),63.3,549,26.7,83,Theon Greyjoy
hedonist (not monastic),63.3,534,29.5,60,Theon Greyjoy
competitive (not cooperative),63.1,902,32.2,271,Theon Greyjoy
focused on the present (not focused on the future),63.1,465,29.7,257,Theon Greyjoy
🧐 (not 😎),63.1,518,26.1,45,Theon Greyjoy
traitorous (not loyal),63,270,27.2,274,Theon Greyjoy
bad-cook (not good-cook),63,518,34.1,26,Theon Greyjoy
abstract (not concrete),62.7,397,28.7,47,Theon Greyjoy
🤺 (not 🏌),62.7,1100,32.8,49,Theon Greyjoy
unobservant (not perceptive),62.4,166,31.8,32,Theon Greyjoy
scrub (not legit),62.3,195,27.9,69,Theon Greyjoy
unchallenging (not demanding),62.3,197,30.8,32,Theon Greyjoy
explorer (not builder),62.2,666,25.3,210,Theon Greyjoy
🙃 (not 🥰),62.2,529,33.4,85,Theon Greyjoy
receiving (not giving),62.2,493,32.8,60,Theon Greyjoy
rude (not respectful),62,491,26.7,256,Theon Greyjoy
slacker (not workaholic),62,278,25.6,86,Theon Greyjoy
flamboyant (not modest),61.9,636,28.8,235,Theon Greyjoy
barbaric (not civilized),61.9,371,24.9,233,Theon Greyjoy
cold (not warm),61.9,587,26.5,250,Theon Greyjoy
poisonous (not nurturing),61.9,518,25.4,102,Theon Greyjoy
poor (not rich),61.8,513,28.5,232,Theon Greyjoy
libertarian (not socialist),61.6,439,28.2,205,Theon Greyjoy
uncreative (not open to new experinces),61.6,249,29.2,248,Theon Greyjoy
heathen (not devout),61.6,478,27.4,246,Theon Greyjoy
💩 (not 🌟),61.6,282,29.3,63,Theon Greyjoy
driven (not unambitious),61.4,1609,27.1,217,Theon Greyjoy
gossiping (not confidential),61.4,423,30.1,246,Theon Greyjoy
ironic (not profound),61.4,531,27.4,28,Theon Greyjoy
wooden (not plastic),61.4,1063,28.7,24,Theon Greyjoy
literal (not metaphorical),61.3,821,27.9,244,Theon Greyjoy
hypochondriac (not stoic),61.3,364,27.7,31,Theon Greyjoy
vengeful (not forgiving),61.2,722,29.2,252,Theon Greyjoy
stingy (not generous),61.2,483,30.2,31,Theon Greyjoy
soft (not hard),61.1,629,27,259,Theon Greyjoy
mundane (not extraordinary),61.1,265,27.6,277,Theon Greyjoy
family-first (not work-first),60.9,742,28.9,267,Theon Greyjoy
🧙 (not 👨‍🚀),60.9,659,27.7,57,Theon Greyjoy
quiet (not loud),60.8,665,29.9,252,Theon Greyjoy
demonic (not angelic),60.8,554,21.9,248,Theon Greyjoy
yes-man (not contrarian),60.8,334,31.1,36,Theon Greyjoy
conservative (not liberal),60.7,414,28.8,57,Theon Greyjoy
circular (not linear),60.7,423,29.6,38,Theon Greyjoy
authoritarian (not democratic),60.6,578,31.1,223,Theon Greyjoy
awkward (not suspicious),60.6,411,32,240,Theon Greyjoy
pack rat (not minimalist),60.6,466,30.3,46,Theon Greyjoy
English (not German),60.6,1485,34.2,42,Theon Greyjoy
bored (not interested),60.6,173,30.8,24,Theon Greyjoy
salacious (not wholesome),60.2,595,26.6,50,Theon Greyjoy
exhibitionist (not bashful),60.2,893,32.1,32,Theon Greyjoy
zany (not regular),60,837,27.7,49,Theon Greyjoy
intimate (not formal),60,695,26.7,89,Theon Greyjoy
ADHD (not OCD),59.8,512,32.5,33,Theon Greyjoy
reserved (not chatty),59.5,758,29.8,275,Theon Greyjoy
unfaithful (not devoted),59.5,203,29.5,34,Theon Greyjoy
astonishing (not methodical),59.4,491,25.6,244,Theon Greyjoy
rock (not rap),59.4,1529,28.9,52,Theon Greyjoy
🥶 (not 🥵),59.3,480,31.6,27,Theon Greyjoy
apathetic (not curious),59.1,236,27.9,251,Theon Greyjoy
radical (not centrist),59,750,31.3,36,Theon Greyjoy
distant (not touchy-feely),59,844,30.9,46,Theon Greyjoy
long-winded (not concise),58.8,537,30.2,29,Theon Greyjoy
masculine (not feminine),58.7,1054,24,249,Theon Greyjoy
basic (not hipster),58.7,911,30.1,228,Theon Greyjoy
straight (not queer),58.7,1333,31.6,147,Theon Greyjoy
kinky (not vanilla),58.5,751,30.6,261,Theon Greyjoy
spontaneous (not deliberate),58.4,549,30.3,273,Theon Greyjoy
patriotic (not unpatriotic),58.4,1173,29.3,58,Theon Greyjoy
historical (not modern),58.3,651,27.7,184,Theon Greyjoy
always down (not picky),58.2,436,31.4,38,Theon Greyjoy
🐒 (not 🐩),58.1,646,30.9,59,Theon Greyjoy
plays hard (not works hard),58,462,29.6,253,Theon Greyjoy
💪 (not 🧠),58,449,29.5,62,Theon Greyjoy
mild (not spicy),57.8,520,27.5,253,Theon Greyjoy
unorthodox (not traditional),57.7,917,29.7,84,Theon Greyjoy
literary (not mathematical),57.6,1001,26.1,229,Theon Greyjoy
domestic (not industrial),57.6,634,29.3,68,Theon Greyjoy
